"Navn","Rang f ca. 1700[3][4]","Rang f ca. 1800[3][4]","Rang f ca. 1900[5]","Rang f ca. 2000[6]","Rang ibefolkningen 2005","Antall ibefolkningen 2005","Rang ibefolkningen 2018[2]","Antall ibefolkningen 2018[2]"
"Caspian","","","","","","< 200","611","355"
"Cato","","","","","174","2 664","217","2 584"
"Charles","","","","","356","656","439","651"
"Charlie","","","","","","< 200","731","260"
"Chris","","","","","276","1 230","297","1 517"
"Christen","14","16","","","573","230","834","209"
"Christer","","","","","171","2 866","195","2 935"
"Christian","37","8","","26","43","12 283","37","14 029"
"Christoffer","","","","39","131","4 219","129","4 920"
"Christopher","16","18","","","184","2 413","192","2 980"
"Claes","","","","","","< 200","795","227"
"Claus","","","","","393","516","496","523"
"Colin","","","","","","< 200","542","452"
"Conrad","","","","","","< 200","673","305"
"Constantin","","","","","","< 200","811","218"
"Cornelius","","","","","","< 200","594","372"
"Cristian","","","","","","< 200","660","311"
"Dag","","","","","61","9 915","64","9 407"
"Dagfinn","","","","","161","3 041","223","2 506"
"Dainius","","","","","","< 200","733","259"
"Damian","","","","","","< 200","395","817"
"Dan","","","","","195","2 112","238","2 259"
"Dani","","","","","","< 200","702","281"
"Daniel","","41","","3","41","12 609","23","18 455"
"Danny","","","","","","< 200","792","228"
"Darius","","","","","","< 200","451","611"
"Dariusz","","","","","","< 200","299","1 473"
"David","","","","","128","4 258","105","6 795"
"Dawid","","","","","","< 200","405","770"
"Dawit","","","","","","< 200","769","238"
"Deividas","","","","","","< 200","745","250"
"Denis","","","","","","< 200","566","414"
"Dennis","","","","","265","1 312","210","2 763"
"Didrik","","","","","302","997","304","1 409"
"Dominik","","","","","","< 200","514","496"
"Donatas","","","","","","< 200","645","322"
"Eddie","","","","","584","219","783","233"
"Edgar","","","","","297","1 068","361","990"
"Edin","","","","","585","218","664","309"
"Edmund","","","","","359","642","479","555"
"Edvard","","","","","207","1 940","197","2 934"
"Edvin","","","","","262","1 321","282","1 695"
"Edward","","","","","473","345","398","801"
"Edwin","","","","","","< 200","551","433"
"Egidijus","","","","","","< 200","676","303"
"Egil","","","","","63","9 723","91","7 627"
"Eigil","","","","","420","446","600","365"
"Eilert","","","","","443","400","617","351"
"Eilif","","","","","320","857","418","710"
"Einar","","","5","","38","13 608","54","10 868"
"Eirik","","","","15","46","11 985","40","13 855"
"Eivind","","","","","78","8 200","81","8 382"
"Eldar","","","","","388","532","443","640"
"Eliah","","","","","","< 200","828","211"
"Elias","","34","","","172","2 785","95","7 343"
"Ellev","37","","","","","< 200","","< 200"
"Elling","35","42","","","404","492","523","480"
"Elliot","","","","","","< 200","480","555"
"Emanuel","","","","","","< 200","599","368"
"Emil","","","","33","109","5 711","49","11 107"
"Emilian","","","","","","< 200","410","741"
